resnet50,Mobilenetv3_large,VGG19,Chair,BI-LSTM
0.2561365740182502,0.056240643486939135,0.26980983669812275,0.0016301434155181482,0.1796005290661764
0.9202263928334908,0.05666730975785761,0.07949859292884298,0.0010425497576349585,0.37542086917484596
0.9389704913896892,0.08469928375718716,0.11231757698079825,0.0010420859899493706,0.18039403557654765
0.9248710262065845,0.09718251855534454,0.02978687092232235,0.02263093553072615,0.004673850737297869
0.46718101594804295,0.03619845917824094,0.05583113662039452,0.07780444957268529,
0.5111128012866768,0.046519145257603256,0.056084353776832074,0.05695391818766993,
0.4867362441866723,0.03503254721618809,0.06032782810172499,0.08505267473375078,
0.4495801047372945,0.017798012477205916,0.018036389067697556,0.081700561900929,
0.23433995655424322,0.017593027160090813,0.045089349482342556,0.17453572216976454,
0.22460222645590555,0.01740056357049191,0.028382118602094053,0.17059045046682897,
0.26807812815941734,0.017431172237753145,0.02838490120820758,,
0.22801880299705157,0.02456438301274666,0.007596978460773229,,
0.2544837059861278,0.024721136490541085,0.011481496596873697,,
0.23179248065625035,0.009246136351409362,0.007309906263275323,,
0.13876995824235827,0.008914542456077257,0.007218080261489845,,
0.15231104713178212,0.008743875947709867,0.0019482880479646525,,
0.12552104299497557,0.004259706193895596,0.013868045107900073,,
0.009127875591534718,,0.01408137824335931,,
