resnet50,Mobilenetv3_large,VGG19,Chair,BI-LSTM
0.17861468800001035,0.03603011199999173,0.13185631999999714,0.0013749120000170478,0.10595318399998632
0.5372066879999977,0.03878867200000968,0.0465051519999804,0.0009868479999965984,0.20950019199997882
0.5270993919999967,0.053458815999988474,0.06624876800000834,0.0007646079999972244,0.11957750400000577
0.5250609599999905,0.05316963199999236,0.019314399999984744,0.008899679999984755,0.001413311999982625
0.2691520000000196,0.0240277439999943,0.0440866559999904,0.036939071999995576,
0.26991251199999056,0.021044063999994478,0.035891840000005004,0.03537609599999314,
0.27193235200002164,0.025345119999997223,0.036003455999974676,0.051637279999994234,
0.2659172159999912,0.011950495999997202,0.011472384000001057,0.053116031999991264,
0.14376559999999472,0.013519231999993053,0.019207808000004434,0.11128246399999853,
0.13801759999998353,0.011815167999998266,0.020113920000000007,0.11383350399998449,
0.13591190400001096,0.012301408000013225,0.01747504000002209,,
0.15015654400002632,0.016545087999986663,0.0054800000000057025,,
0.14230396799999312,0.01638278400000104,0.005835968000013736,,
0.1407482239999922,0.008627295999986018,0.005038784000021224,,
0.07180444800002306,0.00737055999999825,0.007250112000008357,,
0.07018259200000898,0.00632691199999158,0.001665599999995493,,
0.0652607039999964,0.003935711999986324,0.008907104000002164,,
0.007420416000002206,,0.008639775999995436,,
