Resnet50,ResNet50 Imagenet,Mobilenetv3_large,VGG19,Chair,BILSTM
8.00 ,24.50 ,2.00 ,8.00 ,0.05 ,3.13 
32.00 ,98.00 ,2.00 ,2.00 ,0.03 ,6.25 
32.00 ,98.00 ,3.00 ,4.00 ,0.03 ,3.13 
32.00 ,98.00 ,3.00 ,1.00 ,0.50 ,0.02 
16.00 ,49.00 ,1.25 ,2.00 ,2.00 ,
16.00 ,49.00 ,1.25 ,2.00 ,2.00 ,
16.00 ,49.00 ,1.25 ,2.00 ,2.88 ,
16.00 ,49.00 ,0.63 ,0.50 ,2.88 ,
8.00 ,24.50 ,0.63 ,1.00 ,6.00 ,
8.00 ,24.50 ,0.63 ,1.00 ,6.00 ,
8.00 ,24.50 ,0.63 ,1.00 ,3.00 ,
8.00 ,24.50 ,0.88 ,0.25 ,,
8.00 ,24.50 ,0.88 ,0.25 ,,
8.00 ,24.50 ,0.31 ,0.25 ,,
4.00 ,12.25 ,0.31 ,0.25 ,,
4.00 ,12.25 ,0.31 ,0.06 ,,
4.00 ,12.25 ,0.16 ,0.50 ,,
0.25 ,0.25 ,,0.50 ,,
